title,platforms,rating,votes,developer,release_date,price,genres,url
Star Wars Outlaws,['PS5'],0.0,0,Ubisoft Entertainment,8/30/2024,69.99,['Adventure'],https://store.playstation.com/en-us/concept/10005323
SMITE 2 Founder's Edition,['PS5'],0.0,0,Hi-Rez Studios,7/30/2024,29.99,"['Action', 'Strategy']",https://store.playstation.com/en-us/concept/10009245
GUNDAM BREAKER 4 PS4® & PS5®,['PS5'],0.0,0,Bandai Namco Entertainment America Inc.,8/29/2024,59.99,['Action'],https://store.playstation.com/en-us/concept/10005248
F1® 24 Champions Edition,"['PS4', 'PS5']",0.0,0,Electronic Arts Inc,5/28/2024,89.99,['Driving/Racing'],https://store.playstation.com/en-us/concept/10008874
Killer Klowns From Outer Space: The Game,['PS5'],0.0,0,IllFonic Inc.,5/28/2024,39.99,"['Action', 'Horror']",https://store.playstation.com/en-us/concept/10009210
Title Not Found,[],0.0,0,SQUARE ENIX CO. LTD.,3/27/2019,59.99,"['Role Playing Games', 'Action', 'Role Playing Games']",https://store.playstation.com/en-us/concept/208810
EARTH DEFENSE FORCE 6 PS4 & PS5,['PS5'],0.0,0,D3PUBLISHER,7/24/2024,59.99,['Shooter'],https://store.playstation.com/en-us/concept/10002862
Slime Rancher 2,['PS5'],0.0,0,"Monomi Park, LLC",6/7/2024,29.99,"['Action', 'Adventure']",https://store.playstation.com/en-us/concept/10009803
Shin Megami Tensei V: Vengeance,['PS5'],0.0,0,"SEGA of America, Inc.",6/14/2024,59.99,['Role Playing Games'],https://store.playstation.com/en-us/concept/10007941
Darkest Dungeon II: Oblivion Edition PS4 & PS5,['PS5'],0.0,0,Red Hook Studios Inc.,7/15/2024,44.99,['Role Playing Games'],https://store.playstation.com/en-us/concept/10009597
Monster Hunter Stories 2: Wings of Ruin,['PS4'],0.0,0,"Capcom U.S.A., Inc.",6/14/2024,39.99,['Role Playing Games'],https://store.playstation.com/en-us/concept/10007583
Master Detective Archives: RAIN CODE Plus,['PS5'],0.0,0,"Spike Chunsoft, Inc.",10/1/2024,59.99,['Adventure'],https://store.playstation.com/en-us/concept/10009057
Rocket Knight Adventures: Re-Sparked Collection PS4 & PS5,['PS5'],0.0,0,"Konami Digital Entertainment, Inc.",6/11/2024,29.99,['Action'],https://store.playstation.com/en-us/concept/10006837
Capes,['PS5'],0.0,0,DAEDALIC ENTERTAINMENT GMBH,5/29/2024,39.99,['Strategy'],https://store.playstation.com/en-us/concept/10008317
Crown Wars: The Black Prince Pre-order,['PS5'],0.0,0,NACON SA,5/23/2024,49.99,"['Role Playing Games', 'Action', 'Strategy']",https://store.playstation.com/en-us/concept/10005672
Prison Architect 2,['PS5'],0.0,0,Paradox Interactive,9/3/2024,39.99,"['Action', 'Adventure', 'Strategy']",https://store.playstation.com/en-us/concept/10007831
The Smurfs - Village Party PS4 & PS5,['PS5'],0.0,0,Microids,6/6/2024,39.99,['Party'],https://store.playstation.com/en-us/concept/10010362
Monster Hunter Stories,['PS4'],0.0,0,"Capcom U.S.A., Inc.",6/14/2024,29.99,['Role Playing Games'],https://store.playstation.com/en-us/concept/10007582
Democracy 4: Console Edition,['PS4'],0.0,0,AUROCH DIGITAL,6/5/2024,26.99,['Simulation'],https://store.playstation.com/en-us/concept/10008951
Lords of Exile,['PS4'],3.89,0,Plug In Digital,2/14/2024,14.99,"['Adventure', 'Action']",https://store.playstation.com/en-us/concept/10007918
Candle Knight,"['PS4', 'PS5']",3.0,0,JanduSoft S.L.,5/2/2024,12.49,"['Adventure', 'Action']",https://store.playstation.com/en-us/concept/10010118
EARTH DEFENSE FORCE: WORLD BROTHERS 2,['PS5'],0.0,0,D3PUBLISHER,9/26/2024,49.99,['Action'],https://store.playstation.com/en-us/concept/10008165
Gori: Cuddly Carnage,['PS5'],0.0,0,Wired Productions,8/27/2024,19.99,['Action'],https://store.playstation.com/en-us/concept/10004945
Tour de France 2024 - Standard Edition,['PS5'],0.0,0,NACON SA,6/6/2024,39.99,['Simulation'],https://store.playstation.com/en-us/concept/10009776
Title Not Found,[],0.0,0,Developer Not Found,Release Date Not Found,Price Not Found,[],https://store.playstation.com/en-us/concept/10005564
Title Not Found,[],0.0,0,Developer Not Found,Release Date Not Found,Price Not Found,[],https://store.playstation.com/en-us/concept/10008787
Cyber Neon Bundle,['PS4'],3.83,0,"QUBYTE GAME STUDIO, LLC",4/27/2023,4.99,"['Action', 'Arcade']",https://store.playstation.com/en-us/concept/10007568
Morbid: The Lords of Ire,[],0.0,0,Merge Games Limited,5/17/2024,Price Not Found,['Action'],https://store.playstation.com/en-us/concept/10005186
Morkull Ragast's Rage,[],0.0,0,"SELECTAVISION, S.L.U.",Release Date Not Found,Price Not Found,['Action'],https://store.playstation.com/en-us/concept/10009164
The Land Beneath Us,[],0.0,0,Dear Villagers,5/13/2024,Price Not Found,"['Action', 'Strategy']",https://store.playstation.com/en-us/concept/10008550
