title,platforms,rating,votes,developer,release_date,price,genres,url
Call of Duty®: Modern Warfare® III - Cross-Gen Bundle,"['PS4', 'PS5']",4.04,334075,Activision,2023-11-02,45.49,['Action'],https://store.playstation.com/en-us/concept/10001130
Fortnite,['PS5'],4.32,6876621,Epic Games,2017-07-21,0.0,"['Action', 'Adventure']",https://store.playstation.com/en-us/concept/228748
NBA 2K24 Kobe Bryant Edition for PS5™,"['PS4', 'PS5']",3.01,33433,2K,2023-09-08,10.49,['Sport'],https://store.playstation.com/en-us/concept/10007788
Destiny 2 PS4™ & PS5™,"['PS4', 'PS5']",4.28,292806,Bungie,2020-12-08,0.0,"['Shooter', 'Adventure', 'Action']",https://store.playstation.com/en-us/concept/221852
EA SPORTS FC™ 24 Standard Edition PS4 & PS5,"['PS4', 'PS5']",3.25,87378,Electronic Arts Inc,2023-09-29,69.99,['Sport'],https://store.playstation.com/en-us/concept/10007176
Madden NFL 24,"['PS4', 'PS5']",3.17,11985,Electronic Arts Inc,2023-08-18,69.99,['Sport'],https://store.playstation.com/en-us/concept/10006239
MLB® The Show™ 24 PS5®,"['PS4', 'PS5']",3.86,2031,Sony Interactive Entertainment,2024-03-19,49.69,['Sport'],https://store.playstation.com/en-us/concept/10008651
Grand Theft Auto Online (PlayStation®5),"['PS4', 'PS5']",4.52,692831,Rockstar Games,2022-03-15,19.99,"['Action', 'Adventure']",https://store.playstation.com/en-us/concept/201930
MultiVersus,"['PS4', 'PS5']",4.0,52847,Warner Bros. Interactive,2024-05-28,0.0,['Fighting'],https://store.playstation.com/en-us/concept/10001261
Roblox,['PS4'],4.22,304315,ROBLOX Corporation,2023-10-10,0.0,['Unique'],https://store.playstation.com/en-us/concept/223118
Minecraft,['PS4'],4.32,1579114,Mojang,2019-12-10,9.99,['Adventure'],https://store.playstation.com/en-us/concept/212779
Sea of Thieves,['PS5'],4.48,6045,Microsoft Corporation,2024-04-30,39.99,['Adventure'],https://store.playstation.com/en-us/concept/10008884
XDefiant,['PS5'],3.66,25229,Ubisoft Entertainment,2024-05-21,0.0,['Shooter'],https://store.playstation.com/en-us/concept/10002211
Tom Clancy's Rainbow Six® Siege Deluxe Edition,"['PS4', 'PS5']",4.33,261562,Ubisoft Entertainment,2024-03-12,39.99,"['Action', 'Shooter']",https://store.playstation.com/en-us/concept/203897
Apex Legends™ PS5™,"['PS4', 'PS5']",4.12,770541,Electronic Arts Inc,2022-02-08,0.0,"['Action', 'Shooter']",https://store.playstation.com/en-us/concept/232352
Honkai: Star Rail,['PS5'],4.6,18997,COGNOSPHERE PTE. LTD.,2023-10-10,0.0,"['Adventure', 'Role Playing Games']",https://store.playstation.com/en-us/concept/10005275
Marvel’s Spider-Man 2,['PS5'],4.86,121528,Sony Interactive Entertainment,2023-10-20,49.69,['Action'],https://store.playstation.com/en-us/concept/10002456
DRAGON BALL XENOVERSE 2,"['PS4', 'PS5']",3.85,220407,Bandai Namco Entertainment America Inc.,2024-05-24,19.99,"['Fighting', 'Casual', 'Action']",https://store.playstation.com/en-us/concept/217012
HELLDIVERS™ 2,['PS5'],4.47,76572,Sony Interactive Entertainment,2024-02-08,39.99,['Action'],https://store.playstation.com/en-us/concept/10000657
Fallout 76,['PS4'],3.61,50272,Bethesda Softworks,2018-11-14,9.99,['Role Playing Games'],https://store.playstation.com/en-us/concept/232248
WWE 2K24 Cross-Gen Digital Edition,"['PS4', 'PS5']",4.5,4760,2K,2024-03-08,52.49,['Sport'],https://store.playstation.com/en-us/concept/10007978
Diablo® IV - Standard Edition,"['PS4', 'PS5']",4.14,7461,"Blizzard Entertainment, Inc.",2023-06-05,34.99,['Unique'],https://store.playstation.com/en-us/concept/231761
